ident,type,name,coordinates,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code
FD52,heliport,St Cloud Hospital Heliport,"-81.302001953125, 28.23579978942871",70,NA,US,US-FL,St Cloud,FD52,,FD52
FD53,small_airport,Cub Haven STOLport,"-82.21499633789062, 28.45330047607422",70,NA,US,US-FL,Dade City,FD53,,FD53
FD54,heliport,Gold Eagle Helicopters Inc Heliport,"-81.50140380859375, 28.334699630737305",80,NA,US,US-FL,Kissimmee,FD54,,FD54
FD55,small_airport,Rutten Dusting Strip,"-84.36910247802734, 30.679399490356445",260,NA,US,US-FL,Havana,FD55,,FD55
FD56,heliport,Inhome Medical Landing Heliport,"-81.51920318603516, 29.45439910888672",55,NA,US,US-FL,Crescent City,FD56,,FD56
FD57,small_airport,Baggett STOLport,"-80.41639709472656, 27.46980094909668",18,NA,US,US-FL,Fort Pierce,FD57,,FD57
FD58,heliport,St Luke's Hospital Heliport,"-81.58399963378906, 30.253000259399414",25,NA,US,US-FL,Jacksonville,FD58,,FD58
FD59,small_airport,Babcock H.Q. Airport,"-81.71759796142578, 26.86949920654297",34,NA,US,US-FL,Punta Gorda,FD59,,FD59
FD60,heliport,Calhoun Sheriff's Heliport,"-85.10379791259766, 30.58690071105957",214,NA,US,US-FL,Altha,FD60,,FD60
FD61,small_airport,Wright Farms Airport,"-82.9979019165039, 30.176599502563477",104,NA,US,US-FL,Live Oak,FD61,,FD61
FD62,heliport,Waters Heliport,"-81.643278, 27.780083",125,NA,US,US-FL,Fort Meade,FD62,,FD62
FD63,small_airport,Squires Aviation Ranch Airport,"-83.19830322265625, 30.512800216674805",110,NA,US,US-FL,Jasper,FD63,,FD63
FD64,heliport,Bay Pines Veterans Administration Heliport,"-82.77449798583984, 27.8080997467041",9,NA,US,US-FL,St Petersburg,FD64,,FD64
FD65,heliport,Bartow High School Heliport,"-81.84120178222656, 27.8799991607666",116,NA,US,US-FL,Bartow,FD65,,FD65
FD66,heliport,Cape Coral Hospital Heliport,"-81.94149780273438, 26.638399124145508",11,NA,US,US-FL,Cape Coral,FD66,,FD66
FD67,heliport,Lee Memorial Hospital Emergency Heliport,"-81.86730194091797, 26.641700744628906",12,NA,US,US-FL,Fort Myers,FD67,,FD67
FD68,small_airport,Wakulla Club Airport,"-84.25350189210002, 30.1979999542",15,NA,US,US-FL,St. Marks,FD68,,FD68
FD69,seaplane_base,Lake Apopka South Seaplane Base,"-81.5949445, 28.5734722",65,NA,US,US-FL,Winter Garden,FD69,,FD69
FD70,small_airport,River Acres Airport,"-81.02870178222656, 27.325300216674805",30,NA,US,US-FL,Okeechobee,FD70,,FD70
FD71,small_airport,O'Brien Airpark East/West Airport,"-82.98390198, 30.04829979",55,NA,US,US-FL,Branford,FD71,,FD71
